dataset,backbone,base_test_macro_f1_mean,base_test_macro_f1_std,epm_test_macro_f1_mean,epm_test_macro_f1_std,base_test_accuracy_mean,base_test_accuracy_std,epm_test_accuracy_mean,epm_test_accuracy_std,base_polarization_mean,base_polarization_std,epm_polarization_mean,epm_polarization_std,polarization_reduction_pct
BTC-Alpha,SGCN,0.667949413431672,0.004711486579289939,0.6602436624361008,0.005596208252815064,0.7990084985835694,0.0014514094569347776,0.7979697828139755,0.004025006299825179,21.844338211667953,0.08043118307717154,17.926968011517328,0.7582245360056006,17.933114577296728
BTC-OTC,SGCN,0.7425296976292903,0.002443748501147472,0.7349960348400276,0.004909066394499564,0.8082506203473946,0.001453189426193876,0.8042493796526056,0.004326339377369655,28.432492649082114,0.029194344642927694,24.64847226870905,0.7052690901658021,13.308788740670696
Wiki-Elec,SGCN,0.6766594324953628,0.0028097504578173276,0.6723336556229635,0.002867068584616436,0.7992919065581365,0.0025092108385732646,0.8058765137978956,0.0032407626884469578,39.35523955432099,0.05213684672055745,17.535842639557625,2.519983413730495,55.44216516493727
Wiki-RfA,SGCN,0.6578503913939895,0.0017803692050811458,0.6571337112538526,0.002050093341242248,0.788138835747472,0.0012935297961598718,0.7982352711513684,0.0007494261291383342,48.39452469633247,0.06353631077989802,20.610489506252247,0.3650375292527341,57.4115261270162
Slashdot,SGCN,0.6698218069000907,0.0013344425218312192,0.6746210714814275,0.0009149495549978568,0.7592417945439045,0.0006926459569542299,0.765156116794544,0.0006969236393025749,80.38144132490599,0.19459454894901862,68.02897918931525,1.8803340151513532,15.367306099503041
Epinions,SGCN,0.7427005299268478,0.0011870953268123153,0.751018127102095,0.0026819683453178146,0.8400549034456646,0.0016467578750399884,0.8479998106777735,0.0019769237517662476,119.46524113695719,0.3565914417952568,92.81075576797579,3.306222964295993,22.31149840347637
BTC-Alpha,SDGNN,0.6846514862441313,0.004857694768766153,0.6795182474000584,0.00977747639280932,0.762275731822474,0.008147041514040287,0.7603871576959397,0.009322593292718654,19.85078425013021,0.1961063757280491,16.4126106061288,0.3776691302761731,17.320089728842103
BTC-OTC,SDGNN,0.729950044385307,0.0068824925481045665,0.72503655317908,0.00558667214662738,0.7734491315136477,0.006875963933803352,0.7720223325062036,0.006834387263191938,27.245073325374598,0.24385965858880423,19.485382705523755,0.18345804965093107,28.481078128073467
Wiki-Elec,SDGNN,0.7663794089241047,0.005084668509158493,0.755183422204203,0.0013446336197043213,0.8336178942492225,0.004571936995144099,0.8324399444113559,0.002977043806968599,38.738362288356726,0.22102997376324343,22.977460548120924,2.5946778910790367,40.6855138142299
Wiki-RfA,SDGNN,0.7637445435119272,0.002444944905420247,0.7393273773744448,0.006710166391111279,0.8311092023581773,0.003754334240224976,0.8227892086050053,0.004505484784989438,48.28220304831707,0.4919554931485809,27.990329643903046,1.3609656797431045,42.027646054401245
Slashdot,SDGNN,0.7344877139028418,0.004618767293491376,0.7359341067527125,0.0027639373007982016,0.7903186274509804,0.005242023128354661,0.7920969202898551,0.0028348776591317587,81.41236054731098,0.5199524577501415,71.23019620008725,2.387579991986799,12.506902242819251
Epinions,SDGNN,0.8121207089285392,0.002624986005418042,0.810355360436073,0.0029488902494527627,0.8697907989397955,0.0030051560306242025,0.869052442256721,0.002487882884069125,118.08772644947419,0.7103591294853225,99.79357488930451,1.5842502744324642,15.492000828720453
